	Survived	Age	Sex	Pclass
0	0	22	male	3
1	1	38	female	1
2	1	26	female	3
3	1	35	female	1
4	0	35	male	3
6	0	54	male	1
7	0	2	male	3
8	1	27	female	3
9	1	14	female	2
10	1	4	female	3
11	1	58	female	1
12	0	20	male	3
13	0	39	male	3
14	0	14	female	3
15	1	55	female	2
16	0	2	male	3
18	0	31	female	3
20	0	35	male	2
21	1	34	male	2
22	1	15	female	3
23	1	28	male	1
24	0	8	female	3
25	1	38	female	3
27	0	19	male	1
30	0	40	male	1
33	0	66	male	2
34	0	28	male	1
35	0	42	male	1
37	0	21	male	3
38	0	18	female	3
39	1	14	female	3
40	0	40	female	3
41	0	27	female	2
43	1	3	female	2
44	1	19	female	3
49	0	18	female	3
50	0	7	male	3
51	0	21	male	3
52	1	49	female	1
53	1	29	female	2
54	0	65	male	1
56	1	21	female	2
57	0	28.5	male	3
58	1	5	female	2
59	0	11	male	3
60	0	22	male	3
61	1	38	female	1
62	0	45	male	1
63	0	4	male	3
66	1	29	female	2
67	0	19	male	3
68	1	17	female	3
69	0	26	male	3
70	0	32	male	2
71	0	16	female	3
72	0	21	male	2
73	0	26	male	3
74	1	32	male	3
75	0	25	male	3
78	1	0.83	male	2
79	1	30	female	3
80	0	22	male	3
81	1	29	male	3
83	0	28	male	1
84	1	17	female	2
85	1	33	female	3
86	0	16	male	3
88	1	23	female	1
89	0	24	male	3
90	0	29	male	3
91	0	20	male	3
92	0	46	male	1
93	0	26	male	3
94	0	59	male	3
96	0	71	male	1
97	1	23	male	1
98	1	34	female	2
99	0	34	male	2
100	0	28	female	3
102	0	21	male	1
103	0	33	male	3
104	0	37	male	3
105	0	28	male	3
106	1	21	female	3
108	0	38	male	3
110	0	47	male	1
111	0	14.5	female	3
112	0	22	male	3
113	0	20	female	3
114	0	17	female	3
115	0	21	male	3
116	0	70.5	male	3
117	0	29	male	2
118	0	24	male	1
119	0	2	female	3
120	0	21	male	2
122	0	32.5	male	2
123	1	32.5	female	2
124	0	54	male	1
125	1	12	male	3
127	1	24	male	3
129	0	45	male	3
130	0	33	male	3
131	0	20	male	3
132	0	47	female	3
133	1	29	female	2
134	0	25	male	2
135	0	23	male	2
136	1	19	female	1
137	0	37	male	1
138	0	16	male	3
139	0	24	male	1
141	1	22	female	3
142	1	24	female	3
143	0	19	male	3
144	0	18	male	2
145	0	19	male	2
146	1	27	male	3
147	0	9	female	3
148	0	36.5	male	2
149	0	42	male	2
150	0	51	male	2
151	1	22	female	1
152	0	55.5	male	3
153	0	40.5	male	3
155	0	51	male	1
156	1	16	female	3
157	0	30	male	3
160	0	44	male	3
161	1	40	female	2
162	0	26	male	3
163	0	17	male	3
164	0	1	male	3
165	1	9	male	3
167	0	45	female	3
169	0	28	male	3
170	0	61	male	1
171	0	4	male	3
172	1	1	female	3
173	0	21	male	3
174	0	56	male	1
175	0	18	male	3
177	0	50	female	1
178	0	30	male	2
179	0	36	male	3
182	0	9	male	3
183	1	1	male	2
184	1	4	female	3
187	1	45	male	1
188	0	40	male	3
189	0	36	male	3
190	1	32	female	2
191	0	19	male	2
192	1	19	female	3
193	1	3	male	2
194	1	44	female	1
195	1	58	female	1
197	0	42	male	3
199	0	24	female	2
200	0	28	male	3
202	0	34	male	3
203	0	45.5	male	3
204	1	18	male	3
205	0	2	female	3
206	0	32	male	3
207	1	26	male	3
208	1	16	female	3
209	1	40	male	1
210	0	24	male	3
211	1	35	female	2
212	0	22	male	3
213	0	30	male	2
215	1	31	female	1
216	1	27	female	3
217	0	42	male	2
218	1	32	female	1
219	0	30	male	2
220	1	16	male	3
221	0	27	male	2
222	0	51	male	3
224	1	38	male	1
225	0	22	male	3
226	1	19	male	2
227	0	20.5	male	3
228	0	18	male	2
230	1	35	female	1
